service_id,date,exception_type
20220522_MTWTF--_2,20240209,1
20220522_MTWTF--_3,20240209,1
20230820_----F--_41,20240209,1
20230820_MTWTF--_42,20240209,1
20230821_MTWTF--_48,20240209,1
20230821_MTWTF--_49,20240209,1
20240101_----F--_54,20240209,1
20240101_----F--_69,20240209,1
20240101_M-W-F--_58,20240209,1
20240101_MT--F--_59,20240209,1
20240101_MT-TF--_60,20240209,1
20240101_MTW-F--_61,20240209,1
20240101_MTWTF--_63,20240209,1
20240101_MTWTF--_99663,20240209,1
20240102_M-W-F--_95,20240209,1
20240105_MTWTF--_66,20240209,1
20240105_MTWTF--_67,20240209,1
20240202_M---F--_9902,20240209,1
20220522_-----S-_5,20240210,1
20230820_-----S-_40,20240210,1
20230820_-----S-_44,20240210,1
20230821_-----S-_50,20240210,1
20240101_-----S-_53,20240210,1
20240101_-----S-_99653,20240210,1
20240101_-----S-_64,20240210,1
20220522_------S_4,20240211,1
20230820_------S_39,20240211,1
20230820_------S_43,20240211,1
20240101_------S_52,20240211,1
20240102_------S_65,20240211,1
20240102_------S_93,20240211,1
20220522_MTWTF--_1,20240212,1
20220522_MTWTF--_2,20240212,1
20220522_MTWTF--_3,20240212,1
20230820_MTWTF--_42,20240212,1
20230821_MTWTF--_48,20240212,1
20230821_MTWTF--_49,20240212,1
20240101_M-W-F--_58,20240212,1
20240101_MT--F--_59,20240212,1
20240101_MT-TF--_60,20240212,1
20240101_MTW-F--_61,20240212,1
20240101_MTWT---_62,20240212,1
20240101_MTWTF--_63,20240212,1
20240101_MTWTF--_99663,20240212,1
20240102_M-W-F--_95,20240212,1
20240105_MTWTF--_66,20240212,1
20240105_MTWTF--_67,20240212,1
20240202_M------_9901,20240212,1
20240202_M---F--_9902,20240212,1
20220522_MTWTF--_1,20240213,1
20220522_MTWTF--_2,20240213,1
20220522_MTWTF--_3,20240213,1
20230820_MTWTF--_42,20240213,1
20230821_MTWTF--_48,20240213,1
20230821_MTWTF--_49,20240213,1
20240101_MT--F--_59,20240213,1
20240101_MT-TF--_60,20240213,1
20240101_MTW-F--_61,20240213,1
