route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
ST.3,20230820_MTWTF--_42,525413,Hlemmur,,1,4152_3-B,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525414,Hlemmur,,1,4155_3-C,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525415,Hlemmur,,1,4158_3-F,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525423,Hlemmur,,1,4158_3-F,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525427,Hlemmur,,1,4155_3-C,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525452,Hlemmur,,1,4152_3-B,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525453,Hlemmur,,1,4149_3-A,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525455,Hlemmur,,1,4149_3-A,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525456,Hlemmur,,1,4152_3-B,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525457,Hlemmur,,1,4155_3-C,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525458,Hlemmur,,1,4149_3-A,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525459,Hlemmur,,1,4152_3-B,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525460,Hlemmur,,1,4155_3-C,3_f3_1005602_2_55
ST.3,20230820_MTWTF--_42,525476,Hlemmur,,1,4149_3-A,3_f3_1005602_2_55
ST.4,20230820_------S_39,525508,Berg/Fell,,0,4162_4-B,4_f4_1005361_1_2
ST.4,20230820_------S_39,525509,Berg/Fell,,0,4165_4-C,4_f4_1005361_1_2
ST.4,20230820_------S_39,525523,Berg/Fell,,0,4162_4-B,4_f4_1005361_1_2
ST.4,20230820_------S_39,525524,Berg/Fell,,0,4165_4-C,4_f4_1005361_1_2
ST.4,20230820_------S_39,525525,Berg/Fell,,0,4168_4-D,4_f4_1005361_1_2
ST.4,20230820_------S_39,525526,Berg/Fell,,0,4159_4-A,4_f4_1005361_1_2
ST.4,20230820_------S_39,525527,Berg/Fell,,0,4168_4-D,4_f4_1005361_1_2
ST.4,20230820_------S_39,525537,Berg/Fell,,0,4165_4-C,4_f4_1005361_1_2
ST.4,20230820_------S_39,525538,Berg/Fell,,0,4168_4-D,4_f4_1005361_1_2
ST.4,20230820_------S_39,525539,Berg/Fell,,0,4162_4-B,4_f4_1005361_1_2
ST.4,20230820_------S_39,525540,Berg/Fell,,0,4159_4-A,4_f4_1005361_1_2
ST.4,20230820_------S_39,525592,Berg/Fell,,0,4162_4-B,4_f4_1005361_1_6
ST.4,20230820_------S_39,525597,Berg/Fell,,0,4159_4-A,4_1006520_1_3
ST.4,20230820_------S_39,525669,Hlemmur,,1,4165_4-C,4_f4_1005361_2_52
ST.4,20230820_------S_39,525678,Hlemmur,,1,4165_4-C,4_f4_1005361_2_52
ST.4,20230820_------S_39,525679,Hlemmur,,1,4162_4-B,4_f4_1005361_2_52
ST.4,20230820_------S_39,525680,Hlemmur,,1,4159_4-A,4_f4_1005361_2_52
ST.4,20230820_------S_39,525681,Hlemmur,,1,4168_4-D,4_f4_1005361_2_52
ST.4,20230820_------S_39,525682,Hlemmur,,1,4159_4-A,4_f4_1005361_2_52
ST.4,20230820_------S_39,525683,Hlemmur,,1,4168_4-D,4_f4_1005361_2_52
ST.4,20230820_------S_39,525692,Hlemmur,,1,4159_4-A,4_f4_1005361_2_52
ST.4,20230820_------S_39,525693,Hlemmur,,1,4165_4-C,4_f4_1005361_2_52
ST.4,20230820_------S_39,525694,Hlemmur,,1,4168_4-D,4_f4_1005361_2_52
ST.4,20230820_------S_39,525695,Hlemmur,,1,4162_4-B,4_f4_1005361_2_52
ST.4,20230820_------S_39,525712,Hlemmur,,1,4162_4-B,4_f4_1005361_2_52
ST.4,20230820_------S_43,525510,Berg/Fell,,0,4162_4-B,4_f4_1005361_1_2
ST.4,20230820_------S_43,525511,Berg/Fell,,0,4165_4-C,4_f4_1005361_1_2
ST.4,20230820_------S_43,525512,Berg/Fell,,0,4162_4-B,4_f4_1005361_1_2
ST.4,20230820_------S_43,525513,Berg/Fell,,0,4165_4-C,4_f4_1005361_1_2
ST.4,20230820_------S_43,525514,Berg/Fell,,0,4162_4-B,4_f4_1005361_1_2
ST.4,20230820_------S_43,525515,Berg/Fell,,0,4165_4-C,4_f4_1005361_1_2
ST.4,20230820_------S_43,525521,Berg/Fell,,0,4162_4-B,4_f4_1005361_1_2
ST.4,20230820_------S_43,525522,Berg/Fell,,0,4165_4-C,4_f4_1005361_1_2
